Detail,punter,punt_distance,returner,return_distance,tackler,penalized_player,downer,blocker,recoverer,end_location,play_outcome,unprocessed
Michael Dickson punts 52 yards touchback.,Michael Dickson,52.0,,,,,,,,,touchback,yards .
Corey Bojorquez punts 42 yards out of bounds,Corey Bojorquez,42.0,,,,,,,,,out of bounds,yards
Trevor Daniel punts 48 yards fair catch by Dede Westbrook at JAC-26,Trevor Daniel,48.0,Dede Westbrook,,,,,,,JAC-26,,yards
Chris Jones punts 49 yards returned by Trey Quinn for 9 yards (tackle by Jamize Olawale and Darian Thompson),Chris Jones,49.0,Trey Quinn,9.0,Jamize Olawale and Darian Thompson,,,,,,,yards  yards (
Jordan Berry punts 52 yards returned by Tyler Lockett for no gain (tackle by Johnny Holton),Jordan Berry,52.0,Tyler Lockett,0.0,Johnny Holton,,,,,,,yards  (
Logan Cooke punts 54 yards out of bounds. Penalty on Keion Crossen: Offensive Holding 7 yards,Logan Cooke,54.0,,,,Keion Crossen,,,,,out of bounds,yards .  Offensive Holding 7 yards
Riley Dixon punts 45 yards returned by Micah Hyde for no gain (tackle by Cody Core),Riley Dixon,45.0,Micah Hyde,0.0,Cody Core,,,,,,,yards  (
Pat O'Donnell punts 51 yards returned by Diontae Spencer for 8 yards (tackle by Cordarrelle Patterson),Pat O'Donnell,51.0,Diontae Spencer,8.0,Cordarrelle Patterson,,,,,,,yards  yards (
Tress Way punts 39 yards fair catch by Randall Cobb at DAL-10,Tress Way,39.0,Randall Cobb,,,,,,,DAL-10,,yards
Brett Kern punts 61 yards returned by Chester Rogers for 13 yards (tackle by Beau Brinkley and Kevin Byard),Brett Kern,61.0,Chester Rogers,13.0,Beau Brinkley and Kevin Byard,,,,,,,yards  yards (
Andy Lee punts 45 yards fair catch by Cyrus Jones at BAL-35. Penalty on Charles Washington: Fair Catch Interference 15 yards,Andy Lee,45.0,Cyrus Jones,,,,,,,BAL-35. Penalty on Charles Washington: Fair Catch Interference 15 yards,,yards
Cameron Johnston punts 54 yards downed by Mack Hollins,Cameron Johnston,54.0,,,,,Mack Hollins,,,,,yards
Dustin Colquitt punts 31 yards fair catch by Dwayne Harris at OAK-26,Dustin Colquitt,31.0,Dwayne Harris,,,,,,,OAK-26,,yards
Colby Wadman punts 35 yards fair catch by Tarik Cohen at CHI-14,Colby Wadman,35.0,Tarik Cohen,,,,,,,CHI-14,,yards
Thomas Morstead punts 46 yards fair catch by Jojo Natson at LA-8,Thomas Morstead,46.0,Jojo Natson,,,,,,,LA-8,,yards
Michael Dickson punts 47 yards muffed catch by Ryan Switzer recovered by Ryan Switzer at PIT-12 returned by Ryan Switzer for 1 yard (tackle by Nick Bellore),Michael Dickson,47.0,Ryan Switzer,1.0,Nick Bellore,,,,,PIT-12  yard (,,yards muffed catch by Ryan Switzer recovered by Ryan Switzer
Matt Haack punts 36 yards fair catch by Gunner Olszewski at NE-17,Matt Haack,36.0,Gunner Olszewski,,,,,,,NE-17,,yards
Rigoberto Sanchez punts 59 yards returned by Adoree' Jackson for 9 yards (tackle by Bobby Okereke and Ryan Lewis),Rigoberto Sanchez,59.0,Adoree' Jackson,9.0,Bobby Okereke and Ryan Lewis,,,,,,,yards  yards (
Penalty on Russell Gage: False Start 5 yards (no play),,,,,,Russell Gage,,,,,,False Start 5 yards (no play)
Riley Dixon punts 53 yards returned by Micah Hyde for 6 yards (tackle by Michael Thomas),Riley Dixon,53.0,Micah Hyde,6.0,Michael Thomas,,,,,,,yards  yards (
Matthew Bosher punts 39 yards fair catch by Darren Sproles at PHI-43,Matthew Bosher,39.0,Darren Sproles,,,,,,,PHI-43,,yards
Johnny Hekker punts 51 yards returned by Deonte Harris for 6 yards (tackle by Travin Howard),Johnny Hekker,51.0,Deonte Harris,6.0,Travin Howard,,,,,,,yards  yards (
Jake Bailey punts 52 yards,Jake Bailey,52.0,,,,,,,,,,yards
Ty Long punts 51 yards returned by Jamal Agnew for 1 yard (tackle by Derek Watt). Penalty on Miles Killebrew: Offensive Holding 10 yards,Ty Long,51.0,Jamal Agnew,1.0,Derek Watt,Miles Killebrew,,,,,,yards  yard (.  Offensive Holding 10 yards
Jordan Berry punts 38 yards fair catch by Tyler Lockett at SEA-16,Jordan Berry,38.0,Tyler Lockett,,,,,,,SEA-16,,yards
Matt Haack punts 54 yards fair catch by Gunner Olszewski at NE-29,Matt Haack,54.0,Gunner Olszewski,,,,,,,NE-29,,yards
Dustin Colquitt punts 38 yards returned by Dwayne Harris for 11 yards (tackle by Dorian O'Daniel and Darron Lee),Dustin Colquitt,38.0,Dwayne Harris,11.0,Dorian O'Daniel and Darron Lee,,,,,,,yards  yards (
Logan Cooke punts 48 yards out of bounds,Logan Cooke,48.0,,,,,,,,,out of bounds,yards
Matthew Bosher punts 42 yards returned by Darren Sproles for 8 yards (tackle by Luke Stocker),Matthew Bosher,42.0,Darren Sproles,8.0,Luke Stocker,,,,,,,yards  yards (
A.J. Cole punts 37 yards returned by De'Anthony Thomas for 7 yards (tackle by Nicholas Morrow),A.J. Cole,37.0,De'Anthony Thomas,7.0,Nicholas Morrow,,,,,,,yards  yards (
Kevin Huber punts 44 yards fair catch by Richie James at SF-25,Kevin Huber,44.0,Richie James,,,,,,,SF-25,,yards
Sam Martin punts 42 yards fair catch by Desmond King at LAC-12,Sam Martin,42.0,Desmond King,,,,,,,LAC-12,,yards
Thomas Morstead punts 48 yards returned by Jojo Natson for 10 yards (tackle by Kaden Elliss and Craig Robertson),Thomas Morstead,48.0,Jojo Natson,10.0,Kaden Elliss and Craig Robertson,,,,,,,yards  yards (
Trevor Daniel punts 54 yards returned by Dede Westbrook for no gain (tackle by A.J. Moore),Trevor Daniel,54.0,Dede Westbrook,0.0,A.J. Moore,,,,,,,yards  (
Chris Jones punts 52 yards fair catch by Trey Quinn at WAS-26,Chris Jones,52.0,Trey Quinn,,,,,,,WAS-26,,yards
Colby Wadman punts 37 yards fair catch by Tarik Cohen at CHI-10,Colby Wadman,37.0,Tarik Cohen,,,,,,,CHI-10,,yards
Ty Long punts 58 yards returned by Jamal Agnew for 9 yards (tackle by Isaac Rochell). Penalty on Mike Ford: Offensive Holding (Offsetting) (no play),Ty Long,58.0,Jamal Agnew,9.0,Isaac Rochell,Mike Ford,,,,,,yards  yards (.  Offensive Holding (Offsetting) (no play)
Logan Cooke punts 48 yards fair catch by DeAndre Carter at HOU-33. Penalty on Barkevious Mingo: Running Into the Kicker (Declined),Logan Cooke,48.0,DeAndre Carter,,,,,,,HOU-33. Penalty on Barkevious Mingo: Running Into the Kicker (Declined),,yards
Matt Haack punts 21 yards out of bounds,Matt Haack,21.0,,,,,,,,,out of bounds,yards
Ty Long punts 44 yards returned by Danny Amendola for no gain (tackle by Uchenna Nwosu). Penalty on Nick Bawden: Illegal Blindside Block 14 yards,Ty Long,44.0,Danny Amendola,0.0,Uchenna Nwosu,Nick Bawden,,,,,,yards  (.  Illegal Blindside Block 14 yards
Riley Dixon punts 58 yards downed by Cody Core,Riley Dixon,58.0,,,,,Cody Core,,,,,yards
Johnny Hekker punts 45 yards returned by Deonte Harris for 19 yards (tackle by Nick Scott),Johnny Hekker,45.0,Deonte Harris,19.0,Nick Scott,,,,,,,yards  yards (
Britton Colquitt punts 40 yards returned by Trevor Davis for no gain (tackle by Ameer Abdullah),Britton Colquitt,40.0,Trevor Davis,0.0,Ameer Abdullah,,,,,,,yards  (
Trevor Daniel punts 44 yards fair catch by Dede Westbrook at JAC-31,Trevor Daniel,44.0,Dede Westbrook,,,,,,,JAC-31,,yards
JK Scott punts 40 yards muffed catch by Chad Beebe,JK Scott,40.0,,,,,,,,,,yards muffed catch by Chad Beebe
Tress Way punts 56 yards returned by Cedrick Wilson for no gain (tackle by Troy Apke). Penalty on C.J. Goodwin: Offensive Holding 2 yards,Tress Way,56.0,Cedrick Wilson,0.0,Troy Apke,C.J. Goodwin,,,,,,yards  (.  Offensive Holding 2 yards
A.J. Cole punts 51 yards returned by De'Anthony Thomas for 7 yards (tackle by Kyle Wilber). Penalty on Daniel Sorensen: Offensive Holding 5 yards,A.J. Cole,51.0,De'Anthony Thomas,7.0,Kyle Wilber,Daniel Sorensen,,,,,,yards  yards (.  Offensive Holding 5 yards
Britton Colquitt punts 48 yards fair catch by Trevor Davis at GB-23,Britton Colquitt,48.0,Trevor Davis,,,,,,,GB-23,,yards
Brett Kern punts 41 yards out of bounds,Brett Kern,41.0,,,,,,,,,out of bounds,yards
JK Scott punts 43 yards returned by Chad Beebe for 10 yards (tackle by Danny Vitale),JK Scott,43.0,Chad Beebe,10.0,Danny Vitale,,,,,,,yards  yards (
Jordan Berry punts 39 yards fair catch by Tyler Lockett at SEA-32,Jordan Berry,39.0,Tyler Lockett,,,,,,,SEA-32,,yards
Ty Long punts 52 yards returned by Danny Amendola for 11 yards (tackle by Geremy Davis),Ty Long,52.0,Danny Amendola,11.0,Geremy Davis,,,,,,,yards  yards (
Matt Haack punts 54 yards returned by Gunner Olszewski for 3 yards (tackle by Deon Lacey and Kalen Ballage),Matt Haack,54.0,Gunner Olszewski,3.0,Deon Lacey and Kalen Ballage,,,,,,,yards  yards (
Tress Way punts 51 yards out of bounds,Tress Way,51.0,,,,,,,,,out of bounds,yards
Michael Dickson punts 47 yards returned by Diontae Johnson for 11 yards (tackle by Marquise Blair),Michael Dickson,47.0,Diontae Johnson,11.0,Marquise Blair,,,,,,,yards  yards (
Colby Wadman punts 32 yards fair catch by Tarik Cohen at CHI-15,Colby Wadman,32.0,Tarik Cohen,,,,,,,CHI-15,,yards
Jake Bailey punts 39 yards returned by Jakeem Grant for no gain (tackle by Matthew Slater),Jake Bailey,39.0,Jakeem Grant,0.0,Matthew Slater,,,,,,,yards  (
Pat O'Donnell punts 75 yards returned by Diontae Spencer for 10 yards (tackle by Kevin Pierre-Louis),Pat O'Donnell,75.0,Diontae Spencer,10.0,Kevin Pierre-Louis,,,,,,,yards  yards (
Brett Kern punts 37 yards fair catch by Chester Rogers at IND-10,Brett Kern,37.0,Chester Rogers,,,,,,,IND-10,,yards
Penalty on Dee Virgin: False Start 5 yards (no play),,,,,,Dee Virgin,,,,,,False Start 5 yards (no play)
Sam Martin punts 48 yards downed by C.J. Moore. Penalty on Desmond King: Unnecessary Roughness (Declined),Sam Martin,48.0,,,,Desmond King,C.J. Moore.  Unnecessary Roughness (Declined),,,,,yards
Mitch Wishnowsky punts 36 yards downed by D.J. Reed,Mitch Wishnowsky,36.0,,,,,D.J. Reed,,,,,yards
Andy Lee punts 57 yards returned by Cyrus Jones for 25 yards (tackle by Aaron Brewer),Andy Lee,57.0,Cyrus Jones,25.0,Aaron Brewer,,,,,,,yards  yards (
Colby Wadman punts 52 yards returned by Tarik Cohen for 7 yards (tackle by Malik Reed),Colby Wadman,52.0,Tarik Cohen,7.0,Malik Reed,,,,,,,yards  yards (
Cameron Johnston punts 57 yards returned by Kenjon Barner for no gain (tackle by Corey Clement). Penalty on Blidi Wreh-Wilson: Offensive Holding 5 yards,Cameron Johnston,57.0,Kenjon Barner,0.0,Corey Clement,Blidi Wreh-Wilson,,,,,,yards  (.  Offensive Holding 5 yards
A.J. Cole punts 41 yards returned by De'Anthony Thomas for 3 yards (tackle by Marquel Lee). Penalty on Dorian O'Daniel: Illegal Block Above the Waist 6 yards,A.J. Cole,41.0,De'Anthony Thomas,3.0,Marquel Lee,Dorian O'Daniel,,,,,,yards  yards (.  Illegal Block Above the Waist 6 yards
Corey Bojorquez punts 63 yards returned by T.J. Jones for 60 yards (tackle by Siran Neal),Corey Bojorquez,63.0,T.J. Jones,60.0,Siran Neal,,,,,,,yards  yards (
Trevor Daniel punts 35 yards fair catch by Dede Westbrook at JAC-25,Trevor Daniel,35.0,Dede Westbrook,,,,,,,JAC-25,,yards
Sam Koch punts 49 yards fair catch by Christian Kirk at ARI-17,Sam Koch,49.0,Christian Kirk,,,,,,,ARI-17,,yards
Rigoberto Sanchez punts 44 yards returned by Adoree' Jackson for 17 yards (tackle by Zach Pascal),Rigoberto Sanchez,44.0,Adoree' Jackson,17.0,Zach Pascal,,,,,,,yards  yards (
JK Scott punts 44 yards out of bounds,JK Scott,44.0,,,,,,,,,out of bounds,yards
Logan Cooke punts 47 yards out of bounds,Logan Cooke,47.0,,,,,,,,,out of bounds,yards
Corey Bojorquez punts 53 yards returned by T.J. Jones for 13 yards (tackle by Lorenzo Alexander),Corey Bojorquez,53.0,T.J. Jones,13.0,Lorenzo Alexander,,,,,,,yards  yards (
Matt Haack punts 48 yards returned by Gunner Olszewski for 6 yards (tackle by Walt Aikens),Matt Haack,48.0,Gunner Olszewski,6.0,Walt Aikens,,,,,,,yards  yards (
Pat O'Donnell punts 61 yards returned by Diontae Spencer for no gain (tackle by Joel Iyiegbuniwe). Penalty on Trey Marshall: Offensive Holding 10 yards,Pat O'Donnell,61.0,Diontae Spencer,0.0,Joel Iyiegbuniwe,Trey Marshall,,,,,,yards  (.  Offensive Holding 10 yards
Johnny Hekker punts 37 yards out of bounds,Johnny Hekker,37.0,,,,,,,,,out of bounds,yards
Sam Koch punts 44 yards returned by Christian Kirk for no gain (tackle by Sam Koch). Penalty on Cassius Marsh: Illegal Block Above the Waist 10 yards,Sam Koch,44.0,Christian Kirk,0.0,Sam Koch,Cassius Marsh,,,,,,yards  (.  Illegal Block Above the Waist 10 yards
A.J. Cole punts 36 yards returned by De'Anthony Thomas for 10 yards (tackle by Marquel Lee),A.J. Cole,36.0,De'Anthony Thomas,10.0,Marquel Lee,,,,,,,yards  yards (
Trevor Daniel punts 43 yards returned by Tyler Ervin for 6 yards (tackle by Zach Cunningham),Trevor Daniel,43.0,Tyler Ervin,6.0,Zach Cunningham,,,,,,,yards  yards (
Britton Colquitt punts 41 yards fair catch by Trevor Davis at GB-25,Britton Colquitt,41.0,Trevor Davis,,,,,,,GB-25,,yards
Michael Dickson punts 59 yards out of bounds,Michael Dickson,59.0,,,,,,,,,out of bounds,yards
Colby Wadman punts 44 yards touchback.,Colby Wadman,44.0,,,,,,,,,touchback,yards .
Riley Dixon punts 38 yards fair catch by Micah Hyde at BUF-14,Riley Dixon,38.0,Micah Hyde,,,,,,,BUF-14,,yards
Logan Cooke punts 47 yards downed by Breon Borders,Logan Cooke,47.0,,,,,Breon Borders,,,,,yards
Matt Haack punts 47 yards returned by Gunner Olszewski for no gain (tackle by Walt Aikens),Matt Haack,47.0,Gunner Olszewski,0.0,Walt Aikens,,,,,,,yards  (
Corey Bojorquez punts 51 yards returned by T.J. Jones for 2 yards (tackle by Siran Neal),Corey Bojorquez,51.0,T.J. Jones,2.0,Siran Neal,,,,,,,yards  yards (
Cameron Johnston punts 46 yards returned by Kenjon Barner for 6 yards (tackle by Rudy Ford and Johnathan Cyprien). Penalty on Justin Hardy: Offensive Holding 9 yards,Cameron Johnston,46.0,Kenjon Barner,6.0,Rudy Ford and Johnathan Cyprien,Justin Hardy,,,,,,yards  yards (.  Offensive Holding 9 yards
Trevor Daniel punts 39 yards returned by Tyler Ervin for no gain (tackle by A.J. Moore),Trevor Daniel,39.0,Tyler Ervin,0.0,A.J. Moore,,,,,,,yards  (
Sam Martin punts 42 yards returned by Desmond King for no gain (tackle by Tavon Wilson and Christian Jones). Penalty on Uchenna Nwosu: Offensive Holding 10 yards,Sam Martin,42.0,Desmond King,0.0,Tavon Wilson and Christian Jones,Uchenna Nwosu,,,,,,yards  (.  Offensive Holding 10 yards
Dustin Colquitt punts 32 yards fair catch by Jalen Richard at OAK-14. Penalty on De'Anthony Thomas: Illegal Shift 5 yards,Dustin Colquitt,32.0,Jalen Richard,,,,,,,OAK-14. Penalty on De'Anthony Thomas: Illegal Shift 5 yards,,yards
Riley Dixon punts 48 yards out of bounds,Riley Dixon,48.0,,,,,,,,,out of bounds,yards
Rigoberto Sanchez punts 50 yards out of bounds,Rigoberto Sanchez,50.0,,,,,,,,,out of bounds,yards
JK Scott punts 48 yards fair catch by Chad Beebe at MIN-12,JK Scott,48.0,Chad Beebe,,,,,,,MIN-12,,yards
Kevin Huber punts 43 yards fair catch by Richie James at SF-31,Kevin Huber,43.0,Richie James,,,,,,,SF-31,,yards
Jake Bailey punts 53 yards returned by Jakeem Grant for 5 yards (tackle by Matthew Slater). Penalty on Matthew Slater: Unsportsmanlike Conduct 15 yards,Jake Bailey,53.0,Jakeem Grant,5.0,Matthew Slater,Matthew Slater,,,,,,yards  yards (.  Unsportsmanlike Conduct 15 yards
Corey Bojorquez punts 49 yards out of bounds,Corey Bojorquez,49.0,,,,,,,,,out of bounds,yards
Thomas Morstead punts 45 yards returned by Jojo Natson for 32 yards (tackle by J.T. Gray),Thomas Morstead,45.0,Jojo Natson,32.0,J.T. Gray,,,,,,,yards  yards (
Dustin Colquitt punts 53 yards downed by Byron Pringle,Dustin Colquitt,53.0,,,,,Byron Pringle,,,,,yards
Britton Colquitt punts 44 yards downed by Kris Boyd. Penalty on Trevor Davis: Unnecessary Roughness (Declined),Britton Colquitt,44.0,,,,Trevor Davis,Kris Boyd.  Unnecessary Roughness (Declined),,,,,yards
Pat O'Donnell punts 49 yards fair catch by Diontae Spencer at DEN-24,Pat O'Donnell,49.0,Diontae Spencer,,,,,,,DEN-24,,yards
Rigoberto Sanchez punts 60 yards touchback.,Rigoberto Sanchez,60.0,,,,,,,,,touchback,yards .
Kevin Huber punts 50 yards returned by Richie James for no gain (tackle by Brandon Wilson),Kevin Huber,50.0,Richie James,0.0,Brandon Wilson,,,,,,,yards  (
Brett Kern punts 55 yards returned by Chester Rogers for 11 yards (tackle by Daren Bates and Dane Cruikshank),Brett Kern,55.0,Chester Rogers,11.0,Daren Bates and Dane Cruikshank,,,,,,,yards  yards (
JK Scott punts 47 yards muffed catch by Chad Beebe recovered by Chad Beebe at MIN-33 returned by Chad Beebe for no gain (tackle by Ty Summers). Penalty on Kris Boyd: Offensive Holding 10 yards,JK Scott,47.0,Chad Beebe,0.0,Ty Summers,Kris Boyd,,,,MIN-33  (.  Offensive Holding 10 yards,,yards muffed catch by Chad Beebe recovered by Chad Beebe
Cameron Johnston punts 52 yards returned by Kenjon Barner for 6 yards (tackle by Zach Brown and L.J. Fort),Cameron Johnston,52.0,Kenjon Barner,6.0,Zach Brown and L.J. Fort,,,,,,,yards  yards (
Matthew Bosher punts 37 yards fair catch by Darren Sproles at PHI-27,Matthew Bosher,37.0,Darren Sproles,,,,,,,PHI-27,,yards
Trevor Daniel punts 44 yards returned by Dede Westbrook for 3 yards (tackle by Keion Crossen),Trevor Daniel,44.0,Dede Westbrook,3.0,Keion Crossen,,,,,,,yards  yards (
Britton Colquitt punts 39 yards fair catch by Trevor Davis at GB-22,Britton Colquitt,39.0,Trevor Davis,,,,,,,GB-22,,yards
Kevin Huber punts 49 yards returned by Richie James for 4 yards (tackle by Jordan Evans),Kevin Huber,49.0,Richie James,4.0,Jordan Evans,,,,,,,yards  yards (
Brett Kern punts 45 yards returned by Chester Rogers for no gain (tackle by Dane Cruikshank and Christopher Milton),Brett Kern,45.0,Chester Rogers,0.0,Dane Cruikshank and Christopher Milton,,,,,,,yards  (
JK Scott punts 59 yards returned by Chad Beebe for 15 yards (tackle by Adrian Amos),JK Scott,59.0,Chad Beebe,15.0,Adrian Amos,,,,,,,yards  yards (
A.J. Cole punts 60 yards returned by Mecole Hardman for 20 yards (tackle by Marquel Lee),A.J. Cole,60.0,Mecole Hardman,20.0,Marquel Lee,,,,,,,yards  yards (
Andy Lee punts 56 yards returned by Cyrus Jones for 13 yards (tackle by Dennis Gardeck),Andy Lee,56.0,Cyrus Jones,13.0,Dennis Gardeck,,,,,,,yards  yards (
Dustin Colquitt punts 42 yards returned by Jalen Richard for -1 yards (tackle by Anthony Sherman),Dustin Colquitt,42.0,Jalen Richard,-1.0,Anthony Sherman,,,,,,,yards  yards (
Pat O'Donnell punts 51 yards returned by Diontae Spencer for 17 yards (tackle by Patrick Scales),Pat O'Donnell,51.0,Diontae Spencer,17.0,Patrick Scales,,,,,,,yards  yards (
Rigoberto Sanchez punts 35 yards out of bounds,Rigoberto Sanchez,35.0,,,,,,,,,out of bounds,yards
Jordan Berry punts 46 yards downed by Tyler Matakevich,Jordan Berry,46.0,,,,,Tyler Matakevich,,,,,yards
Sam Koch punts 36 yards fair catch by Christian Kirk at ARI-9,Sam Koch,36.0,Christian Kirk,,,,,,,ARI-9,,yards
Corey Bojorquez punts 27 yards out of bounds,Corey Bojorquez,27.0,,,,,,,,,out of bounds,yards
JK Scott punts 48 yards fair catch by Chad Beebe at MIN-24,JK Scott,48.0,Chad Beebe,,,,,,,MIN-24,,yards
Thomas Morstead punts 50 yards fair catch by Jojo Natson at LA-11,Thomas Morstead,50.0,Jojo Natson,,,,,,,LA-11,,yards
A.J. Cole punts 39 yards returned by De'Anthony Thomas for 1 yard (tackle by Marquel Lee). Penalty on Jordan Lucas: Offensive Holding 10 yards,A.J. Cole,39.0,De'Anthony Thomas,1.0,Marquel Lee,Jordan Lucas,,,,,,yards  yard (.  Offensive Holding 10 yards
Britton Colquitt punts 52 yards returned by Trevor Davis for no gain (tackle by Kris Boyd). Penalty on Kris Boyd: Unnecessary Roughness (Offsetting),Britton Colquitt,52.0,Trevor Davis,0.0,Kris Boyd,Kris Boyd,,,,,,yards  (.  Unnecessary Roughness (Offsetting)
Andy Lee punts 59 yards returned by Cyrus Jones for 7 yards (tackle by Zeke Turner),Andy Lee,59.0,Cyrus Jones,7.0,Zeke Turner,,,,,,,yards  yards (
Johnny Hekker punts 66 yards returned by Deonte Harris for 9 yards (tackle by Nick Scott),Johnny Hekker,66.0,Deonte Harris,9.0,Nick Scott,,,,,,,yards  yards (
Mitch Wishnowsky punts 39 yards out of bounds,Mitch Wishnowsky,39.0,,,,,,,,,out of bounds,yards
Corey Bojorquez punts 40 yards out of bounds,Corey Bojorquez,40.0,,,,,,,,,out of bounds,yards
Thomas Morstead punts 55 yards fair catch by Jojo Natson at LA-20,Thomas Morstead,55.0,Jojo Natson,,,,,,,LA-20,,yards
JK Scott punts 52 yards touchback.,JK Scott,52.0,,,,,,,,,touchback,yards .
Bradley Pinion punts 47 yards muffed catch by Ray-Ray McCloud recovered by Ray-Ray McCloud at CAR-10 returned by Ray-Ray McCloud for no gain (tackle by Kevin Minter and Antony Auclair),Bradley Pinion,47.0,Ray-Ray McCloud,0.0,Kevin Minter and Antony Auclair,,,,,CAR-10  (,,yards muffed catch by Ray-Ray McCloud recovered by Ray-Ray McCloud
Bradley Pinion punts 41 yards muffed catch by Ray-Ray McCloud recovered by Ray-Ray McCloud at CAR-23 (tackle by Donte Jackson),Bradley Pinion,41.0,,,Donte Jackson,,,,,CAR-23 (,,yards muffed catch by Ray-Ray McCloud recovered by Ray-Ray McCloud
Michael Palardy punts 53 yards returned by Bobo Wilson for 10 yards (tackle by Michael Palardy). Penalty on Jamel Dean: Illegal Block Above the Waist 10 yards,Michael Palardy,53.0,Bobo Wilson,10.0,Michael Palardy,Jamel Dean,,,,,,yards  yards (.  Illegal Block Above the Waist 10 yards
